iteration,current_bet_freq_QdQc,average_bet_freq_QdQc,current_bet_freq_QsQh,average_bet_freq_QsQh,current_bet_freq_QsQc,average_bet_freq_QsQc,current_bet_freq_QhQd,average_bet_freq_QhQd,current_bet_freq_QhQc,average_bet_freq_QhQc,current_bet_freq_QsQd,average_bet_freq_QsQd
46,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295
47,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295,0.000000,0.197295
48,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404
49,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404,0.000000,0.189404
50,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119
51,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119,0.132254,0.182119
52,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343
53,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343,0.686876,0.180343
54,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575
55,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575,1.000000,0.195575
56,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166
57,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166,1.000000,0.221166
58,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128
59,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128,1.000000,0.247128
60,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414
61,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414,1.000000,0.271414
62,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182
63,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182,1.000000,0.294182
64,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162
65,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162,0.520754,0.309162
66,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546
67,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546,0.000000,0.306546
68,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787
69,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787,0.000000,0.297787
70,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516
71,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516,0.000000,0.289516
72,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691
73,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691,0.000000,0.281691
74,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278
75,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278,0.000000,0.274278
76,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245
77,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245,0.000000,0.267245
78,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564
79,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564,0.000000,0.260564
80,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209
81,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209,0.000000,0.254209
82,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156
83,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156,0.000000,0.248156
84,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385
85,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385,0.000000,0.242385
86,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916
87,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916,0.125310,0.236916
88,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060
89,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060,0.500814,0.234060
90,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767
91,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767,0.794485,0.238767
92,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330
93,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330,1.000000,0.249330
94,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299
95,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299,1.000000,0.264299
96,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314
97,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314,1.000000,0.279314
98,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538
99,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538,0.986069,0.293538
100,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152
101,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152,0.492996,0.301152
102,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550
103,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550,0.086208,0.300550
104,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026
105,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026,0.000000,0.295026
106,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563
107,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563,0.000000,0.289563
108,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298
109,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298,0.000000,0.284298
110,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221
111,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221,0.000000,0.279221
112,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322
113,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322,0.000000,0.274322
114,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593
115,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593,0.000000,0.269593
116,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023
117,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023,0.000000,0.265023
118,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606
119,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606,0.000000,0.260606
120,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334
121,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334,0.000000,0.256334
122,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058
123,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058,0.351948,0.253058
124,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839
125,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839,0.559214,0.253839
126,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124
127,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124,0.773331,0.258124
128,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508
129,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508,1.000000,0.265508
130,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668
131,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668,1.000000,0.275668
132,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149
133,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149,1.000000,0.286149
134,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632
135,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632,0.642745,0.293632
136,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520
137,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520,0.370127,0.296520
138,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785
139,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785,0.000000,0.294785
140,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633
141,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633,0.000000,0.290633
142,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597
143,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597,0.000000,0.286597
144,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671
145,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671,0.000000,0.282671
146,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851
147,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851,0.000000,0.278851
148,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133
149,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133,0.000000,0.275133
150,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513
151,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513,0.000000,0.271513
152,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987
153,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987,0.000000,0.267987
154,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612
155,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612,0.160444,0.264612
156,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729
157,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729,0.402132,0.262729
158,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864
159,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864,0.506334,0.263864
160,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010
161,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010,0.499988,0.266010
162,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786
163,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786,0.420998,0.267786
164,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174
165,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174,0.247953,0.268174
166,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877
167,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877,0.000000,0.265877
168,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749
169,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749,0.000000,0.262749
170,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693
171,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693,0.000000,0.259693
172,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709
173,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709,0.000000,0.256709
174,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791
175,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791,0.000000,0.253791
176,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940
177,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940,0.000000,0.250940
178,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152
179,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152,0.000000,0.248152
180,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425
181,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425,0.000000,0.245425
182,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757
183,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757,0.000000,0.242757
184,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467
185,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467,0.270999,0.240467
186,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349
187,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349,0.451381,0.240349
188,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065
189,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065,0.512625,0.242065
190,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202
191,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202,0.493525,0.244202
192,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923
193,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923,0.413679,0.245923
194,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498
195,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498,0.251064,0.246498
196,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868
197,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868,0.000000,0.244868
198,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419
199,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419,0.000000,0.242419
200,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019
201,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019,0.000000,0.240019
202,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666
203,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666,0.000000,0.237666
204,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358
205,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358,0.000000,0.235358
206,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095
207,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095,0.000000,0.233095
208,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875
209,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875,0.000000,0.230875
210,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733
211,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733,0.128468,0.228733
212,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470
213,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470,0.351895,0.227470
214,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359
215,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359,0.506657,0.228359
216,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707
217,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707,0.650654,0.230707
218,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016
219,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016,0.674089,0.234016
